offense,city,offenses,rayleigh_stat,rayleigh_p,median_angle,median_day,mean_deviation,concentration,seasonal_range
assault,Chicago,589559,0.08552211936824454,<0.001,176.44469671070178,29 Jun,1.4609768116197455,0.10184550989345476,0.33736729433352247
assault,Detroit,177395,0.085959852669639,<0.001,179.38376375477205,01 Jul,1.4613578807633556,0.10498194101354907,0.337271530925574
assault,Fort Worth,57147,0.061625520984007164,<0.001,176.54794520547946,29 Jun,1.4935049885335163,0.07397260273972617,0.2554260089686096
assault,Kansas City,177613,0.08390359130429119,<0.001,185.10664979529855,07 Jul,1.4644274828864272,0.10051276293135725,0.3120112914608327
assault,Los Angeles,363012,0.03952145172087218,<0.001,192.11116026650035,14 Jul,1.520294598822819,0.04783105022831047,0.15124124761298546
assault,Louisville,31825,0.060266305492657976,<0.001,184.24537671234566,06 Jul,1.4950364153273916,0.0779071537290712,0.24447999999999992
assault,New York,590654,0.05762278937734307,<0.001,184.3912257048698,07 Jul,1.4969744893073038,0.07289732889188372,0.22350022153300833
assault,San Francisco,82156,0.014669598718084582,<0.001,242.45901826484044,03 Sep,1.552297680830535,0.019219939117199214,0.13805253042921203
assault,Tucson,82783,0.02478473633093123,<0.001,154.53424657534245,06 Jun,1.539847455696405,0.03607924017100428,0.16420919974795206
criminal damage,Chicago,260262,0.06558615032215766,<0.001,190.4464441886917,13 Jul,1.4862298104261418,0.07276028800808476,0.273478092283831
criminal damage,Detroit,92461,0.061646634965127886,<0.001,197.9918032786885,20 Jul,1.4917111061255537,0.06826484018264822,0.2205729877216917
criminal damage,Fort Worth,55493,0.03186206546831851,<0.001,166.68493150684927,19 Jun,1.5297598656968183,0.041095890410958846,0.17821596244131463
criminal damage,Kansas City,86168,0.07117381134604991,<0.001,192.28931806272726,15 Jul,1.4783513862894784,0.07664066203807662,0.3249556475458309
criminal damage,Los Angeles,165364,0.017749732760447598,<0.001,174.4446660179356,26 Jun,1.5476588969766236,0.01917371559747494,0.1080741438894125
criminal damage,Louisville,27678,0.06304324281037031,<0.001,187.23470319633728,09 Jul,1.490194733959305,0.07146607364157376,0.29467680608365043
criminal damage,New York,373698,0.04673387413786067,<0.001,172.54289666308784,25 Jun,1.5106080560747688,0.05744336683134932,0.19964140404110062
criminal damage,San Francisco,63089,0.015006109152514133,<0.001,200.0482191781039,22 Jul,1.5513579138931781,0.015154577438431405,0.12846473029045638
criminal damage,Tucson,59837,0.0074435421469827845,0.073,149.56061643835616,01 Jun,1.5617240005340458,0.009878234398782326,0.10008741258741259
personal robbery,Chicago,85816,0.08913962045426756,<0.001,240.3969015894374,01 Sep,1.4555209527445496,0.10460242938593212,0.36088252832438866
personal robbery,Detroit,28434,0.10659810446001194,<0.001,225.16399858843153,17 Aug,1.43132862604011,0.12899543378995426,0.45590405904059056
personal robbery,Fort Worth,12172,0.019390780738584537,0.031,235.72602739726022,28 Aug,1.539633374150773,0.013133468073956989,0.3074309978768576
personal robbery,Los Angeles,66698,0.030089543039649513,<0.001,221.8282077833625,14 Aug,1.5321944943534669,0.042009132420090745,0.1651764705882354
personal robbery,Louisville,24855,0.058461903603422925,<0.001,202.80068493150682,25 Jul,1.4981662140979255,0.06971080669710794,0.3033333333333333
personal robbery,New York,120983,0.06235036279785749,<0.001,256.5062051224654,18 Sep,1.4907281070999183,0.07346147728123387,0.2565511411665259
personal robbery,San Francisco,25499,0.01985218053760473,<0.001,255.53434763081037,17 Sep,1.5453387259734108,0.02851511881295199,0.18523076923076914
personal robbery,Tucson,5342,0.01716968051437661,0.207,297.7568493150685,30 Oct,1.549700221798325,0.01760282030008886,0.23681592039800992
residential burglary,Chicago,124517,0.07233143129799682,<0.001,238.31698667564916,30 Aug,1.476927982167509,0.08667047184170451,0.2948226661231145
residential burglary,Detroit,62794,0.061833577217406024,<0.001,267.86468191588244,29 Sep,1.494475154594303,0.07602739726027385,0.3475896168108776
residential burglary,Fort Worth,93717,0.01865413094021566,<0.001,237.69863013698634,30 Aug,1.5447646745958452,0.019178082191780632,0.19557497951379393
residential burglary,Kansas City,87549,0.05489561677590058,<0.001,235.4289617486338,27 Aug,1.4989744415913882,0.06592465753424659,0.24911976911976919
residential burglary,Los Angeles,99595,0.019131734114291858,<0.001,335.8168667361008,07 Dec,1.5461962048034295,0.02248250243281691,0.1353003721424774
residential burglary,Louisville,96198,0.040927595513947056,<0.001,230.2700913242023,22 Aug,1.5150429098266993,0.03610736831599204,0.22820375335120638
residential burglary,New York,91702,0.04943280361409731,<0.001,262.02555497334333,23 Sep,1.50792034858026,0.06358637747336371,0.21501976284584978
residential burglary,San Francisco,31067,0.024763599000975422,<0.001,28.335616438356166,29 Jan,1.5394178242753942,0.032978734685729205,0.16883996613039803
